2026-06-29 11:08:59 [INFO] URL https://books.toscrape.com/catalogue/category/books/childrens_11/index.html returned status 200
2026-06-29 11:09:01 [INFO] URL https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html returned status 200
2026-06-29 11:09:03 [INFO] URL https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html returned status 200
2026-06-29 11:09:04 [INFO] URL https://books.toscrape.com/catalogue/category/books/novels_46/index.html returned status 200
2026-06-29 11:09:06 [INFO] URL https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html returned status 200
2026-06-29 11:09:07 [INFO] URL https://books.toscrape.com/catalogue/category/books/thriller_37/index.html returned status 200
2026-06-29 11:09:09 [INFO] URL https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html returned status 200
2026-06-29 11:09:11 [INFO] URL https://books.toscrape.com/catalogue/category/books/art_25/index.html returned status 200
2026-06-29 11:09:12 [INFO] URL https://books.toscrape.com/catalogue/category/books/history_32/index.html returned status 200
2026-06-29 11:09:14 [INFO] URL https://books.toscrape.com/catalogue/category/books/default_15/index.html returned status 200
2026-06-29 11:09:15 [INFO] URL https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html returned status 200
2026-06-29 11:09:17 [INFO] URL https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html returned status 200
